Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
363,Kevin Schade,FW,Brentford,23-345,2001,10,9,830,9.2,2,1,3,2,0,1,4,0,2.8,2,1.1,3.1,17,6,30,0.22,0.11,0.33,0.22,0.33,0.3,0.12,0.42,0.22,0.34
364,Fabian Schar,DF,Newcastle Utd,33-322,1991,6,4,425,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,24,1,0,0,0,0,0,0.02,0.02,0.05,0.02,0.05
365,Alex Scott,MF,Bournemouth,22-078,2003,10,9,666,7.4,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1,14,22,17,0.14,0,0.14,0.14,0.14,0.07,0.06,0.14,0.07,0.14
366,Jenson Seelt,DF,Sunderland,22-168,2003,2,1,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0
367,Matz Sels,GK,Nott'ham Forest,33-254,1992,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,Antoine Semenyo,"FW,MF",Bournemouth,25-304,2000,10,10,899,10,6,3,9,5,1,1,2,0,3.8,3,0.5,3.5,34,39,59,0.6,0.3,0.9,0.5,0.8,0.38,0.05,0.43,0.3,0.35
369,Marcos Senesi,DF,Bournemouth,28-181,1997,10,10,887,9.9,0,2,2,0,0,0,3,0,0.2,0.2,0.3,0.5,5,53,3,0,0.2,0.2,0,0.2,0.02,0.03,0.05,0.02,0.05
370,Benjamin Sesko,FW,Manchester Utd,22-160,2003,10,6,588,6.5,2,1,3,2,0,0,1,0,2.1,2.1,0.3,2.4,4,9,22,0.31,0.15,0.46,0.31,0.46,0.31,0.05,0.37,0.31,0.37
371,Ryan Sessegnon,DF,Fulham,25-173,2000,9,9,746,8.3,2,0,2,2,0,0,0,0,0.7,0.7,0.8,1.5,20,29,41,0.24,0,0.24,0.24,0.24,0.08,0.1,0.18,0.08,0.18
372,Luke Shaw,DF,Manchester Utd,30-118,1995,10,10,843,9.4,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,9,39,7,0,0.11,0.11,0,0.11,0.01,0.01,0.02,0.01,0.02
373,Bernardo Silva,MF,Manchester City,31-089,1994,10,6,554,6.2,0,1,1,0,0,0,1,0,0.1,0.1,1.9,1.9,7,23,27,0,0.16,0.16,0,0.16,0.01,0.31,0.31,0.01,0.31
374,Jota Silva,FW,Nott'ham Forest,26-098,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
375,Xavi Simons,"FW,MF",Tottenham,22-200,2003,7,5,454,5,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,19,32,24,0,0.2,0.2,0,0.2,0.06,0.12,0.18,0.06,0.18
376,Adam Smith,DF,Bournemouth,34-192,1991,3,3,204,2.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,1,6,2,0,0,0,0,0,0,0.12,0.12,0,0.12
377,Emile Smith Rowe,MF,Fulham,25-102,2000,10,1,222,2.5,1,0,1,1,0,0,0,0,1,1,0.1,1.1,5,13,12,0.41,0,0.41,0.41,0.41,0.41,0.04,0.45,0.41,0.45
378,Dominic Solanke,FW,Tottenham,28-054,1997,2,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,2,0,0,0,0,0,0.57,0,0.57,0.57,0.57
379,Julio Soler,FW,Bournemouth,20-264,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Oliver Sonne,"DF,FW",Burnley,24-362,2000,3,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,4,3,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06
381,Borna Sosa,DF,Crystal Palace,27-290,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,Tom Soucek,MF,West Ham,30-253,1995,7,5,396,4.4,1,0,1,1,0,0,0,1,1.5,1.5,0,1.5,1,10,8,0.23,0,0.23,0.23,0.23,0.34,0.01,0.34,0.34,0.34
383,Djed Spence,DF,Tottenham,25-090,2000,9,8,668,7.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,24,31,35,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
384,Anton Stach,MF,Leeds United,26-357,1998,9,8,709,7.9,1,1,2,1,0,0,1,0,0.9,0.9,1,1.9,13,42,22,0.13,0.13,0.25,0.13,0.25,0.11,0.12,0.24,0.11,0.24
385,John Stones,DF,Manchester City,31-163,1994,5,4,325,3.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,15,4,0,0,0,0,0,0,0.02,0.02,0,0.02
386,Jorgen Strand Larsen,FW,Wolves,25-274,2000,8,7,617,6.9,1,0,1,0,1,1,0,0,1.5,0.7,0.4,1.1,2,5,25,0.15,0,0.15,0,0,0.22,0.06,0.28,0.11,0.17
